utc_time_id,source_id,primary_link_source_flag,avg_speed,avg_flow,avg_occ,avg_freeflow_speed,avg_travel_time,high_quality_samples,samples_below_100pct_ff,samples_below_95pct_ff,samples_below_90pct_ff,samples_below_85pct_ff,samples_below_80pct_ff,samples_below_75pct_ff,samples_below_70pct_ff,samples_below_65pct_ff,samples_below_60pct_ff,samples_below_55pct_ff,samples_below_50pct_ff,samples_below_45pct_ff,samples_below_40pct_ff,samples_below_35pct_ff,samples_below_30pct_ff,samples_below_25pct_ff,samples_below_20pct_ff
19/05/2016 15:23,402270,6,0.03,78,10,0.05,71,4,0.03,65,4,0.03,71,,,,,,,,,,,,
25/05/2016 16:49,402268,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
01/07/2016 23:29,402262,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
02/06/2016 11:38,402268,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
16/02/2016 10:08,402270,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
13/07/2016 19:32,402260,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
11/08/2016 4:46,402260,1,0.0056,71,1,0.0089,78,2,0.0156,65,,,,,,,,,,,,,,,
16/03/2016 7:16,402270,1,0.01,71,1,0.01,65,1,0.02,65,1,0,65,,,,,,,,,,,,
18/08/2016 2:43,402271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
18/06/2016 19:40,402271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
29/01/2016 0:29,402272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
02/06/2016 15:03,402269,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
17/08/2016 9:49,402260,13,0.0739,78,12,0.0767,71,5,0.1033,60,,,,,,,,,,,,,,,
30/03/2016 7:27,402264,0,0,0,1,0.01,71,1,0.01,60,,,,,,,,,,,,,,,
02/06/2016 4:08,402263,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
16/02/2016 18:22,402261,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
04/01/2016 12:26,402263,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
11/04/2016 11:35,402270,14,0.08,71,11,0.06,71,5,0.04,65,5,0.03,65,,,,,,,,,,,,
31/07/2016 4:42,402263,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
01/07/2016 6:15,402262,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
